Schedule,Female,Male,Unknown
"'bk/plim/a/1824', 'study'",0,48,0
"'bk/tint/b/24273', 'Non_ACTH_test'",37,54,0
"'bk/trek/c/51259', 'P3-Additional_MAD'",8,69,0
"'tfrtcro/ross/a/13380', 'schedule_c1'",0,0,0
"'bk/nona/a/73', 'dosegroup4_A4'",15,21,0
"'tfcro/swot/a/88409', 'schedule_part1_amendment3'",26,130,0
"'bk/tidy/f/835755', 'PartI_c123_studysubjects'",0,0,0
"'bk/buck/b/10', 'CPRT128A2126'",46,82,0
"'ck/plot/c/23162', 'main'",20,46,0
"'bk/fizz/b/1074', 'oncologycohort'",2,1,1
"'tfrtcro/leep/a/14', 'CCJM112X2203'",13,6,0
"'sslive/skee/a/453923', 'esource'",12,83,0
"'bk/lasa/a/100055', 'part1'",4,76,0
"'gsk/wind/a/11', 'HZA106851'",122,117,0
"'bk/city/d/44119', 'part1'",0,32,0
"'bk/cled/f/245', 'Cohort_1'",0,8,0
"'tfcro/oaky/b/59604', 'PART1_A1'",33,63,0
"'tfrtcro/dido/a/128281', 'part_1_amd3'",10,5,0
"'bk/city/d/8871', 'part2'",11,65,0
"'bk/ansu/a/9', 'IP2110092'",0,3,0
"'tfcro/naja/a/312', 'default'",67,26,0
"'bk/cled/f/328230', 'default'",0,120,0
"'tfrtcro/ross/a/72', 'sch01'",40,52,0
"'tfcro/clew/c/7500', 'part2_amm3'",5,109,0
"'tfcro/clew/c/5853', 'am4'",10,4,0
"'sslive/skee/a/79018', 'esource'",39,64,0
"'bk/tidy/f/472427', 'Cohort_6_ORAL_Dose_150mg'",16,60,0
"'tfrtcro/leep/a/3996', 'CMAU868X2101'",12,21,0
"'gsk/inga/a/12', 'TAF115226'",0,328,0
"'bk/tidy/f/36630', 'cohort1'",0,60,0
"'bk/filo/d/10', 'TreatmentArmA'",41,54,0
"'bk/funt/a/368420', 'dosegroup3_A6B'",18,26,0
"'bk/lasa/a/10641', 'CNVA237A2310_new'",45,63,0
"'bk/trek/c/62625', 'CBPR277X2101_netherton_syndrome_1'",40,42,0
"'bk/tidy/f/36630', 'cohort2'",0,60,0
"'bk/bozo/a/109501', 'default'",12,28,0
"'tfrtcro/bena/a/7', 'default_NEW'",164,35,4
"'tfrtcro/mike/a/1743', 'Part_a'",25,141,0
"'bk/nona/a/73', 'dosegroup8_A4'",15,21,0
"'bk/trek/c/51259', 'P2-MAD_Amend1a'",8,69,0
"'bk/cled/f/31996', 'studysubjects'",10,3,0
"'bk/trek/c/62625', 'CBPR277X2101_atopic_dermatitis_1'",40,42,0
"'bk/city/d/59922', 'studysubjects'",4,6,0
"'bk/lasa/a/11265', 'part_b4'",3,49,0
"'bk/cled43/a/26', 'StudySubjects'",8,24,0
"'bk/dawn/e/31', 'DoseEscalationPhaseAmendment2'",0,8,0
"'bk/dawn/e/92', 'groupAandB'",10,34,0
"'tfcro/oaky/b/57107', 'CPJMR0032106'",11,19,0
"'bk/cled/f/10', 'JapaneseStudy'",491,808,0
"'bk/funt/a/368420', 'dosegroup1_A6B'",18,26,0
"'bk/cled/f/31', 'phase2'",16,22,0
"'tfrtcro/bena/a/7', 'default_PA5'",164,35,4
"'tfrtcro/sean/a/52359', 'CCSJ117X2101'",10,41,0
"'bk/bozo/a/136212', 'P1_Amend1'",30,11,0
"'bk/dawn/e/3', 'cohort0'",6,57,0
"'tfrtcro/dido/a/187220', 'part_2'",16,117,0
"'tfcro/clew/c/7500', 'part2'",5,109,0
